Postal Code,Population (2021)
A0A,"44,930"
A0B,"19,287"
A0C,"11,972"
A0E,"21,209"
A0G,"33,316"
A0H,"16,743"
A0J,"7,497"
A0K,"24,659"
A0L,"7,503"
A0M,"5,468"
A0N,"12,387"
A0P,"13,058"
A0R,"2,661"
A1A,"30,086"
A1B,"20,906"
A1C,"12,713"
A1E,"26,858"
A1G,"5,808"
A1H,"6,469"
A1K,"12,348"
A1L,"22,959"
A1M,"8,405"
A1N,"22,478"
A1S,"6,103"
A1V,"11,890"
A1W,"11,179"
A1X,"15,945"
A1Y,"5,436"
A2A,"9,277"
A2B,"4,739"
A2H,"25,290"
A2N,"8,613"
A2V,"7,447"
A5A,"8,436"
A8A,"6,475"
B0C,"2,748"
B0E,"25,919"
B0H,"9,796"
B0J,"41,032"
B0K,"35,141"
B0L,"2,335"
B0M,"17,448"
B0N,"40,484"
B0P,"41,544"
B0R,"6,090"
B0S,"17,873"
B0T,"14,729"
B0V,"5,658"
B0W,"25,890"
B1A,"14,988"
B1B,"1,237"
B1C,"1,698"
B1E,"1,533"
B1G,"1,796"
B1H,"9,146"
B1J,"1,148"
B1K,"3,336"
B1L,"4,952"
B1M,"1,271"
B1N,"5,605"
B1P,"14,704"
B1R,"4,478"
B1S,"8,826"
B1T,400
B1V,"6,088"
B1W,"3,521"
B1X,921
B1Y,"5,941"
B2A,"7,711"
B2C,262
B2E,54
B2G,"15,318"
B2H,"15,332"
B2J,67
B2N,"20,816"
B2R,"2,553"
B2S,"8,011"
B2T,"17,780"
B2V,"12,252"
B2W,"33,145"
B2X,"12,038"
B2Y,"15,420"
B2Z,"8,335"
B3A,"21,857"
B3B,"1,688"
B3E,"7,085"
B3G,"11,275"
B3H,"20,788"
B3J,"9,086"
B3K,"23,207"
B3L,"18,409"
B3M,"37,555"
B3N,"14,943"
B3P,"11,389"
B3R,"9,500"
B3S,"13,818"
B3T,"17,777"
B3V,"6,136"
B3Z,"17,841"
B4A,"18,541"
B4B,"19,570"
B4C,"18,425"
B4E,"19,718"
B4G,"5,430"
B4H,"13,723"
B4N,"18,024"
B4P,"8,780"
B4R,"2,858"
B4V,"20,376"
B5A,"16,753"
B6L,"12,989"
B9A,"4,472"
C0A,"48,140"
C0B,"29,902"
C1A,"25,861"
C1B,"14,817"
C1C,"5,239"
C1E,"12,681"
C1N,"17,691"
E1A,"48,336"
E1B,"20,584"
E1C,"25,834"
E1E,"11,936"
E1G,"24,784"
E1H,"7,883"
E1J,"3,736"
E1N,"11,333"
E1V,"13,811"
E1W,"6,940"
E1X,"14,082"
E2A,"17,408"
E2E,"19,840"
E2G,"5,528"
E2H,"4,748"
E2J,"16,058"
E2K,"18,798"
E2L,"8,221"
E2M,"18,836"
E2N,"4,310"
E2P,"1,337"
E2R,10
E2S,"6,970"
E2V,"14,545"
E3A,"29,462"
E3B,"39,788"
E3C,"12,321"
E3E,"4,719"
E3G,"9,122"
E3L,"8,439"
E3N,"13,467"
E3V,"12,142"
E3Y,"7,113"
E3Z,"3,965"
E4A,"3,001"
E4B,"4,263"
E4C,"2,451"
E4E,"9,163"
E4G,"2,714"
E4H,"4,208"
E4J,"5,001"
E4K,"6,398"
E4L,"7,746"
E4M,"1,937"
E4N,"3,895"
E4P,"15,900"
E4R,"6,883"
E4S,"7,276"
E4T,"2,192"
E4V,"4,518"
E4W,"8,603"
E4X,"3,090"
E4Y,"3,059"
E4Z,"5,871"
E5A,"1,622"
E5B,"3,331"
E5C,"4,356"
E5E,949
E5G,"2,734"
E5H,"2,912"
E5J,"2,112"
E5K,"7,261"
E5L,"2,902"
E5M,"2,170"
E5N,"12,263"
E5P,"2,682"
E5R,"1,517"
E5S,"1,887"
E5T,"3,149"
E5V,718
E6A,"1,237"
E6B,"1,574"
E6C,"2,104"
E6E,"1,492"
E6G,"2,655"
E6H,"1,216"
E6J,"1,234"
E6K,"4,086"
E6L,"4,823"
E7A,"3,705"
E7B,"5,641"
E7C,"5,061"
E7E,"4,097"
E7G,"3,621"
E7H,"5,601"
E7J,"1,904"
E7K,"2,406"
E7L,"5,099"
E7M,"10,438"
E7N,"3,157"
E7P,"3,471"
E8A,"3,644"
E8B,"2,305"
E8C,"3,699"
E8E,"5,117"
E8G,"2,468"
E8J,"5,624"
E8K,"8,712"
E8L,"2,256"
E8M,"2,021"
E8N,"2,396"
E8P,"3,408"
E8R,"3,125"
E8S,"4,610"
E8T,"5,713"
E9A,"2,229"
E9B,"2,274"
E9C,"2,149"
E9E,"3,870"
E9G,"5,297"
E9H,"2,931"
G0A,"83,411"
G0C,"45,955"
G0E,"4,630"
G0G,"16,315"
G0H,"10,538"
G0J,"29,007"
G0K,"11,722"
G0L,"60,937"
G0M,"34,401"
G0N,"19,994"
G0P,"6,786"
G0R,"84,338"
G0S,"72,494"
G0T,"13,560"
G0V,"18,374"
G0W,"36,541"
G0X,"60,486"
G0Y,"9,320"
G0Z,"8,974"
G1B,"16,698"
G1C,"36,215"
G1E,"27,753"
G1G,"24,975"
G1H,"29,618"
G1J,"23,325"
G1K,"18,911"
G1L,"22,024"
G1M,"20,770"
G1N,"8,400"
G1P,"16,538"
G1R,"16,423"
G1S,"25,912"
G1T,"6,797"
G1V,"23,629"
G1W,"22,499"
G1X,"26,746"
G1Y,"12,738"
G2A,"15,350"
G2B,"24,936"
G2C,"12,283"
G2E,"21,054"
G2G,"10,790"
G2J,"3,223"
G2K,"12,845"
G2L,"14,609"
G2M,"5,625"
G2N,"8,486"
G3A,"20,233"
G3B,"8,315"
G3C,"10,434"
G3E,"16,115"
G3G,"10,026"
G3H,"10,142"
G3J,"10,635"
G3K,"20,396"
G3L,"11,103"
G3M,"7,436"
G3N,"11,114"
G3S,"6,647"
G3Z,"7,371"
G4A,"3,063"
G4R,"20,327"
G4S,"4,931"
G4T,"12,654"
G4V,"6,288"
G4W,"13,988"
G4X,"15,063"
G4Z,"9,389"
G5A,"8,283"
G5B,"5,976"
G5C,"11,390"
G5H,"6,974"
G5J,"6,010"
G5L,"28,733"
G5M,"8,829"
G5N,"8,375"
G5R,"20,118"
G5T,"2,884"
G5V,"10,999"
G5X,"6,181"
G5Y,"23,088"
G5Z,"7,603"
G6A,"2,546"
G6B,"8,404"
G6C,"7,959"
G6E,"13,110"
G6G,"20,356"
G6H,"7,097"
G6J,"10,627"
G6K,"8,237"
G6L,"15,293"
G6P,"29,578"
G6R,"4,702"
G6S,"5,384"
G6T,"11,201"
G6V,"32,034"
G6W,"25,242"
G6X,"9,307"
G6Y,"7,232"
G6Z,"23,582"
G7A,"25,429"
G7B,"17,614"
G7G,"16,414"
G7H,"28,684"
G7J,"14,443"
G7K,762
G7N,"6,389"
G7P,"7,418"
G7S,"19,807"
G7T,"1,640"
G7X,"25,550"
G7Y,628
G7Z,"2,638"
G8A,"6,033"
G8B,"22,060"
G8C,"4,412"
G8E,"3,837"
G8G,"4,121"
G8H,"10,040"
G8J,"4,259"
G8K,"10,089"
G8L,"14,282"
G8M,"5,173"
G8N,"2,511"
G8P,"7,310"
G8T,"27,831"
G8V,"9,956"
G8W,"11,010"
G8Y,"33,298"
G8Z,"13,972"
G9A,"20,399"
G9B,"18,680"
G9C,"4,017"
G9H,"13,559"
G9N,"16,125"
G9P,"11,567"
G9R,"2,324"
G9T,"15,940"
G9X,"10,610"
H1A,"33,158"
H1B,"20,651"
H1C,"15,085"
H1E,"42,568"
H1G,"50,989"
H1H,"37,847"
H1J,"10,587"
H1K,"37,304"
H1L,"34,612"
H1M,"29,352"
H1N,"24,444"
H1P,"18,118"
H1R,"31,259"
H1S,"26,715"
H1T,"31,318"
H1V,"21,908"
H1W,"30,004"
H1X,"30,178"
H1Y,"29,286"
H1Z,"36,487"
H2A,"19,454"
H2B,"18,049"
H2C,"17,976"
H2E,"23,507"
H2G,"22,115"
H2H,"14,728"
H2J,"27,028"
H2K,"29,084"
H2L,"27,057"
H2M,"18,468"
H2N,"6,442"
H2P,"14,388"
H2R,"22,987"
H2S,"27,217"
H2T,"16,297"
H2V,"31,998"
H2W,"11,508"
H2X,"21,548"
H2Y,"3,727"
H2Z,"3,757"
H3A,"4,360"
H3B,"1,900"
H3C,"18,583"
H3E,"21,565"
H3G,"11,424"
H3H,"20,690"
H3J,"11,915"
H3K,"15,275"
H3L,"20,996"
H3M,"15,840"
H3N,"29,080"
H3P,"10,172"
H3R,"10,108"
H3S,"33,618"
H3T,"13,009"
H3V,"6,732"
H3W,"30,766"
H3X,"24,214"
H3Y,"9,564"
H3Z,"11,544"
H4A,"26,362"
H4B,"20,937"
H4C,"17,301"
H4E,"30,154"
H4G,"29,860"
H4H,"18,936"
H4J,"18,075"
H4K,"11,319"
H4L,"36,216"
H4M,"12,466"
H4N,"30,199"
H4P,"9,106"
H4R,"31,132"
H4S,567
H4T,0
H4V,"20,701"
H4W,"26,359"
H4X,"6,467"
H7A,"21,639"
H7B,"2,957"
H7C,"8,816"
H7E,"26,590"
H7G,"22,054"
H7H,"13,865"
H7J,"2,161"
H7K,"22,475"
H7L,"37,893"
H7M,"27,729"
H7N,"44,641"
H7P,"37,456"
H7R,"31,001"
H7S,"7,752"
H7T,"28,213"
H7V,"23,242"
H7W,"42,580"
H7X,"27,332"
H7Y,"9,978"
H8N,"33,207"
H8P,"22,980"
H8R,"31,491"
H8S,"25,686"
H8T,"15,270"
H8Y,"19,915"
H8Z,"15,127"
H9A,"15,267"
H9B,"21,104"
H9C,"11,725"
H9E,"3,190"
H9G,"15,346"
H9H,"25,097"
H9J,"21,393"
H9K,"8,898"
H9P,"3,836"
H9R,"26,002"
H9S,"22,984"
H9W,"19,277"
H9X,"9,744"
J0A,"19,149"
J0B,"65,700"
J0C,"23,445"
J0E,"51,896"
J0G,"18,624"
J0H,"52,946"
J0J,"42,141"
J0K,"149,238"
J0L,"83,316"
J0M,"25,104"
J0N,"52,112"
J0P,"42,965"
J0R,"39,041"
J0S,"34,124"
J0T,"51,466"
J0V,"27,294"
J0W,"16,608"
J0X,"48,487"
J0Y,"29,035"
J0Z,"34,456"
J1A,"9,132"
J1C,"6,841"
J1E,"25,866"
J1G,"19,632"
J1H,"29,653"
J1J,"15,452"
J1K,"7,435"
J1L,"16,036"
J1M,"5,923"
J1N,"35,087"
J1R,"10,960"
J1S,"7,862"
J1T,"7,993"
J1X,"33,945"
J1Z,"5,742"
J2A,"12,264"
J2B,"33,110"
J2C,"29,991"
J2E,"4,454"
J2G,"28,297"
J2H,"22,474"
J2J,"18,341"
J2K,"18,291"
J2L,"11,381"
J2M,"7,238"
J2N,"10,149"
J2R,"10,383"
J2S,"29,943"
J2T,"17,072"
J2W,"28,762"
J2X,"20,485"
J2Y,"5,576"
J3A,"9,136"
J3B,"33,908"
J3E,"30,045"
J3G,"33,664"
J3H,"26,673"
J3L,"53,680"
J3M,"11,345"
J3N,"17,053"
J3P,"25,025"
J3R,"14,452"
J3T,"8,620"
J3V,"26,050"
J3X,"21,198"
J3Y,"66,364"
J3Z,"5,774"
J4B,"41,743"
J4G,"10,010"
J4H,"15,593"
J4J,"31,102"
J4K,"27,024"
J4L,"31,866"
J4M,"13,149"
J4N,"11,382"
J4P,"11,249"
J4R,"10,674"
J4S,"6,303"
J4T,"19,718"
J4V,"17,033"
J4W,"18,191"
J4X,"19,192"
J4Y,"25,459"
J4Z,"28,686"
J5A,"29,922"
J5B,"8,319"
J5C,"17,347"
J5J,"18,080"
J5K,"17,740"
J5L,"22,965"
J5M,"24,005"
J5N,169
J5R,"49,403"
J5T,"14,425"
J5V,"7,340"
J5W,"26,780"
J5X,"8,892"
J5Y,"30,084"
J5Z,"28,005"
J6A,"34,313"
J6E,"46,434"
J6J,"24,855"
J6K,"25,960"
J6N,"16,014"
J6R,"14,626"
J6S,"24,765"
J6T,"18,022"
J6V,"14,621"
J6W,"32,422"
J6X,"25,257"
J6Y,"22,926"
J6Z,"19,627"
J7A,"14,187"
J7B,"13,068"
J7C,"46,679"
J7E,"29,356"
J7G,"17,310"
J7H,"8,185"
J7J,"27,644"
J7K,"36,960"
J7L,"14,223"
J7M,"24,708"
J7N,"33,449"
J7P,"25,226"
J7R,"37,992"
J7T,"29,584"
J7V,"69,657"
J7W,"14,751"
J7X,"5,643"
J7Y,"27,006"
J7Z,"30,230"
J8A,"10,669"
J8B,"14,012"
J8C,"11,667"
J8E,"11,046"
J8G,"8,209"
J8H,"15,142"
J8L,"20,056"
J8M,"13,157"
J8N,"13,833"
J8P,"35,320"
J8R,"28,947"
J8T,"37,832"
J8V,"27,274"
J8X,"11,782"
J8Y,"23,803"
J8Z,"14,814"
J9A,"22,508"
J9B,"7,999"
J9E,"7,664"
J9H,"32,921"
J9J,"41,342"
J9L,"14,164"
J9P,"33,008"
J9T,"13,221"
J9V,"3,409"
J9X,"22,993"
J9Y,"10,755"
J9Z,"7,411"
K0A,"111,626"
K0B,"21,020"
K0C,"52,838"
K0E,"39,649"
K0G,"39,862"
K0H,"47,286"
K0J,"34,322"
K0K,"115,850"
K0L,"78,142"
K0M,"53,815"
K1A,594
K1B,"17,769"
K1C,"37,235"
K1E,"14,508"
K1G,"35,074"
K1H,"16,306"
K1J,"28,268"
K1K,"32,046"
K1L,"18,213"
K1M,"6,764"
K1N,"26,639"
K1P,645
K1R,"20,343"
K1S,"31,257"
K1T,"40,054"
K1V,"57,157"
K1W,"13,825"
K1X,"4,594"
K1Y,"20,712"
K1Z,"22,714"
K2A,"17,156"
K2B,"33,254"
K2C,"29,359"
K2E,"20,172"
K2G,"50,692"
K2H,"26,759"
K2J,"81,863"
K2K,"24,922"
K2L,"18,739"
K2M,"28,708"
K2P,"18,825"
K2R,"1,237"
K2S,"38,903"
K2T,"11,871"
K2V,"10,486"
K2W,"8,553"
K4A,"62,125"
K4B,"4,704"
K4C,"4,538"
K4K,"16,958"
K4M,"14,380"
K4P,"10,448"
K4R,"8,740"
K6A,"12,529"
K6H,"30,440"
K6J,"17,827"
K6K,"3,452"
K6T,690
K6V,"28,174"
K7A,"17,575"
K7C,"20,382"
K7G,"8,740"
K7H,"16,175"
K7K,"33,705"
K7L,"19,621"
K7M,"49,268"
K7N,"8,395"
K7P,"24,660"
K7R,"15,480"
K7S,"14,265"
K7V,"13,943"
K8A,"26,392"
K8B,490
K8H,"16,188"
K8N,"30,393"
K8P,"23,166"
K8R,"2,012"
K8V,"28,936"
K9A,"26,757"
K9H,"29,704"
K9J,"44,547"
K9K,"13,359"
K9L,"7,813"
K9V,"29,369"
L0A,"15,325"
L0B,"15,501"
L0C,"9,486"
L0E,"21,898"
L0G,"44,945"
L0H,"1,223"
L0J,"4,945"
L0K,"38,386"
L0L,"42,022"
L0M,"37,226"
L0N,"2,395"
L0P,"7,779"
L0R,"83,602"
L0S,"60,409"
L1A,"15,845"
L1B,"13,203"
L1C,"50,217"
L1E,"28,325"
L1G,"43,497"
L1H,"32,298"
L1J,"43,107"
L1K,"43,574"
L1L,"12,976"
L1M,"22,542"
L1N,"49,649"
L1P,"22,928"
L1R,"42,221"
L1S,"42,045"
L1T,"52,632"
L1V,"52,787"
L1W,"18,433"
L1X,"24,639"
L1Y,"1,976"
L1Z,"31,989"
L2A,"17,293"
L2E,"18,587"
L2G,"30,344"
L2H,"29,820"
L2J,"14,908"
L2M,"33,704"
L2N,"30,719"
L2P,"15,128"
L2R,"25,558"
L2S,"19,400"
L2T,"11,401"
L2V,"19,795"
L2W,"1,959"
L3B,"25,869"
L3C,"33,462"
L3K,"19,458"
L3L,879
L3M,"28,433"
L3P,"37,336"
L3R,"62,060"
L3S,"55,403"
L3T,"50,405"
L3V,"48,651"
L3X,"45,284"
L3Y,"43,556"
L3Z,"41,072"
L4A,"50,389"
L4B,"36,080"
L4C,"74,636"
L4E,"54,606"
L4G,"62,061"
L4H,"77,353"
L4J,"75,120"
L4K,"20,172"
L4L,"55,426"
L4M,"46,902"
L4N,"100,835"
L4P,"29,861"
L4R,"19,245"
L4S,"36,688"
L4T,"38,182"
L4V,5
L4W,"19,744"
L4X,"18,719"
L4Y,"23,490"
L4Z,"37,218"
L5A,"47,406"
L5B,"67,131"
L5C,"29,284"
L5E,"12,972"
L5G,"20,714"
L5H,"17,409"
L5J,"28,208"
L5K,"13,363"
L5L,"43,585"
L5M,"106,468"
L5N,"83,700"
L5R,"37,022"
L5S,27
L5T,19
L5V,"49,149"
L5W,"24,145"
L6A,"89,287"
L6B,"34,763"
L6C,"51,738"
L6E,"38,387"
L6G,"8,364"
L6H,"72,662"
L6J,"24,420"
L6K,"14,118"
L6L,"30,012"
L6M,"72,547"
L6P,"91,155"
L6R,"93,783"
L6S,"54,361"
L6T,"39,614"
L6V,"42,392"
L6W,"23,547"
L6X,"76,113"
L6Y,"97,601"
L6Z,"33,888"
L7A,"104,009"
L7B,"17,809"
L7C,"33,846"
L7E,"34,516"
L7G,"48,051"
L7J,"13,766"
L7K,"8,486"
L7L,"47,433"
L7M,"48,498"
L7N,"13,160"
L7P,"29,777"
L7R,"17,338"
L7S,"12,207"
L7T,"18,555"
L8B,"25,778"
L8E,"41,927"
L8G,"21,805"
L8H,"26,187"
L8J,"29,146"
L8K,"32,598"
L8L,"32,312"
L8M,"13,774"
L8N,"15,568"
L8P,"24,773"
L8R,"11,651"
L8S,"15,787"
L8T,"19,405"
L8V,"21,165"
L8W,"26,077"
L9A,"25,899"
L9B,"25,025"
L9C,"41,202"
L9E,"16,933"
L9G,"25,020"
L9H,"31,221"
L9J,"2,272"
L9K,"15,928"
L9L,"14,620"
L9M,"16,607"
L9N,"21,656"
L9P,"17,383"
L9R,"25,949"
L9S,"33,434"
L9T,"110,956"
L9V,"17,750"
L9W,"48,790"
L9X,"12,896"
L9Y,"28,925"
L9Z,"24,849"
M1B,"65,555"
M1C,"35,642"
M1E,"48,033"
M1G,"30,894"
M1H,"23,964"
M1J,"37,002"
M1K,"48,175"
M1L,"35,833"
M1M,"23,258"
M1N,"22,976"
M1P,"45,170"
M1R,"30,467"
M1S,"37,663"
M1T,"34,607"
M1V,"50,825"
M1W,"47,070"
M1X,"14,810"
M2H,"23,396"
M2J,"61,761"
M2K,"25,377"
M2L,"11,274"
M2M,"31,915"
M2N,"75,100"
M2P,"7,546"
M2R,"40,581"
M3A,"34,361"
M3B,"12,880"
M3C,"39,616"
M3H,"38,416"
M3J,"26,600"
M3K,"7,865"
M3L,"19,263"
M3M,"24,906"
M3N,"40,846"
M4A,"14,589"
M4B,"18,612"
M4C,"46,440"
M4E,"25,473"
M4G,"19,598"
M4H,"18,698"
M4J,"35,128"
M4K,"30,913"
M4L,"32,218"
M4M,"25,052"
M4N,"16,058"
M4P,"25,057"
M4R,"11,909"
M4S,"30,754"
M4T,"10,332"
M4V,"19,273"
M4W,"15,296"
M4X,"19,896"
M4Y,"36,319"
M5A,"48,978"
